period,series_id,turnover
2007-09-01,A3348627A,2321.0
2007-10-01,A3348627A,2535.3
2007-11-01,A3348627A,2692.3
2007-12-01,A3348627A,3582.4
2008-01-01,A3348627A,2437.1
2008-02-01,A3348627A,2355.5
2008-03-01,A3348627A,2414.5
2008-04-01,A3348627A,2390.5
2008-05-01,A3348627A,2530.9
2008-06-01,A3348627A,2378.4
2008-07-01,A3348627A,2521.7
2008-08-01,A3348627A,2540.0
2008-09-01,A3348627A,2485.9
2008-10-01,A3348627A,2668.9
2008-11-01,A3348627A,2740.0
2008-12-01,A3348627A,3816.6
2009-01-01,A3348627A,2525.9
2009-02-01,A3348627A,2349.1
2009-03-01,A3348627A,2585.3
2009-04-01,A3348627A,2519.0
2009-05-01,A3348627A,2624.2
2009-06-01,A3348627A,2551.6
2009-07-01,A3348627A,2682.3
2009-08-01,A3348627A,2595.8
2009-09-01,A3348627A,2620.5
2009-10-01,A3348627A,2775.7
2009-11-01,A3348627A,2849.8
2009-12-01,A3348627A,3817.7
2010-01-01,A3348627A,2601.3
2010-02-01,A3348627A,2426.4
2010-03-01,A3348627A,2709.9
2010-04-01,A3348627A,2549.6
2010-05-01,A3348627A,2633.7
2010-06-01,A3348627A,2604.6
2010-07-01,A3348627A,2765.1
2010-08-01,A3348627A,2803.4
2010-09-01,A3348627A,2809.9
2010-10-01,A3348627A,2854.1
2010-11-01,A3348627A,2998.3
2010-12-01,A3348627A,3947.6
2011-01-01,A3348627A,2692.0
2011-02-01,A3348627A,2563.6
2011-03-01,A3348627A,2835.0
2011-04-01,A3348627A,2747.2
2011-05-01,A3348627A,2798.4
2011-06-01,A3348627A,2791.4
2011-07-01,A3348627A,2950.6
2011-08-01,A3348627A,2995.6
2011-09-01,A3348627A,2997.8
2011-10-01,A3348627A,3022.4
2011-11-01,A3348627A,3317.5
2011-12-01,A3348627A,4267.6
2012-01-01,A3348627A,2826.0
2012-02-01,A3348627A,2810.8
2012-03-01,A3348627A,3035.1
2012-04-01,A3348627A,2803.0
2012-05-01,A3348627A,2997.2
2012-06-01,A3348627A,2980.1
2012-07-01,A3348627A,2960.6
2012-08-01,A3348627A,3083.9
2012-09-01,A3348627A,2999.1
2012-10-01,A3348627A,3113.9
2012-11-01,A3348627A,3451.5
2012-12-01,A3348627A,4107.5
2013-01-01,A3348627A,2913.7
2013-02-01,A3348627A,2764.4
2013-03-01,A3348627A,2975.3
2013-04-01,A3348627A,2895.3
2013-05-01,A3348627A,3086.8
2013-06-01,A3348627A,2873.9
2013-07-01,A3348627A,3024.2
2013-08-01,A3348627A,3089.2
2013-09-01,A3348627A,3063.1
2013-10-01,A3348627A,3240.5
2013-11-01,A3348627A,3668.3
2013-12-01,A3348627A,4293.3
2014-01-01,A3348627A,3070.1
2014-02-01,A3348627A,2903.6
2014-03-01,A3348627A,3099.9
2014-04-01,A3348627A,3009.6
2014-05-01,A3348627A,3160.5
2014-06-01,A3348627A,3029.7
2014-07-01,A3348627A,3179.3
2014-08-01,A3348627A,3260.7
2014-09-01,A3348627A,3262.1
2014-10-01,A3348627A,3417.8
2014-11-01,A3348627A,3577.5
2014-12-01,A3348627A,4440.3
2015-01-01,A3348627A,3152.6
2015-02-01,A3348627A,2999.9
2015-03-01,A3348627A,3243.1
2015-04-01,A3348627A,3058.8
2015-05-01,A3348627A,3214.7
2015-06-01,A3348627A,3243.5
2015-07-01,A3348627A,3337.2
2015-08-01,A3348627A,3379.5
2015-09-01,A3348627A,3454.5
2015-10-01,A3348627A,3579.5
2015-11-01,A3348627A,3824.9
2015-12-01,A3348627A,4642.5
2016-01-01,A3348627A,3304.9
2016-02-01,A3348627A,3257.0
2016-03-01,A3348627A,3398.6
2016-04-01,A3348627A,3355.8
